Threads, Peak Performance
1046,34907.324219
1047,46673.207031
1048,46883.269531
1049,40830.839844
1050,49717.074219
1051,42212.683594
1052,39081.113281
1053,43783.882812
1054,49375.144531
1055,54686.183594
1056,44738.792969
1057,50252.000000
1058,54214.062500
1059,53676.472656
1060,64976.910156
1061,54362.617188
1062,54228.761719
1063,70761.375000
1064,68699.234375
1065,61825.992188
1066,55443.140625
1067,66907.742188
1068,59541.468750
1069,64899.015625
1070,62046.871094
1071,71760.718750
1072,74037.390625
1073,66824.421875
1074,74136.781250
1075,64966.851562
1076,74343.289062
1077,71732.414062
1078,67102.546875
1079,78267.687500
1080,60540.687500
1081,74746.554688
1082,69210.179688
1083,60433.117188
1084,60362.539062
1085,73983.515625
1086,70315.500000
1087,67979.804688
1088,64310.824219
1089,58392.742188
1090,60273.523438
1091,63486.687500
1092,57768.000000
1093,62360.804688
1094,52317.398438
1095,55851.582031
1096,70497.046875
1097,63686.152344
1098,51401.683594
1099,58191.898438
1100,61042.960938
1101,66661.585938
1102,56790.726562
1103,51131.347656
1104,48561.152344
1105,51135.414062
1106,42097.500000
1107,51997.054688
1108,53818.972656
1109,39245.773438
1110,37194.457031
1111,32096.613281
1112,39012.003906
1113,38173.757812
1114,45398.378906
1115,28877.214844
1116,34365.675781
1117,35375.093750
1118,27962.292969
1119,28796.173828
1120,14082.534180
1121,20294.232422
1122,29735.435547
1123,25708.935547
1124,19924.199219
1125,789.621521
1126,19100.361328
1127,4728.729980
1128,4653.472168
1129,12751.911133
1130,6947.875488
1131,-2452.118896
1132,1098.724121
1133,-4856.681152
1134,-595.644836
1135,-6435.226562
1136,947.812622
1137,-9834.523438
1138,-4306.552246
1139,-9338.984375
1140,-19443.593750
1141,-25781.212891
1142,-18330.394531
1143,-30735.425781
1144,-22353.929688
1145,-24649.382812
1146,-25657.267578
1147,-22933.845703
1148,-19053.695312
1149,-31136.275391
1150,-25238.396484
1151,-36485.246094
1152,-20708.279297
1153,-41864.855469
1154,-34195.039062
1155,-36322.027344
1156,-42384.101562
1157,-43203.156250
1158,-44771.664062
1159,-49077.218750
1160,-47193.132812
1161,-49912.730469
1162,-50847.246094
1163,-54204.574219
1164,-52020.808594
1165,-66046.843750
1166,-54441.757812
1167,-47603.515625
1168,-63549.066406
1169,-47733.773438
1170,-45875.539062
1171,-51235.917969
1172,-55764.800781
1173,-58761.046875
1174,-63256.910156
1175,-61827.132812
1176,-53367.324219
1177,-76402.062500
1178,-60353.496094
1179,-65033.230469
1180,-62666.714844
1181,-72002.398438
1182,-59540.902344
1183,-70637.117188
1184,-76712.859375
1185,-69555.507812
1186,-64901.472656
1187,-69070.718750
1188,-55765.234375
1189,-79674.312500
1190,-72265.468750
1191,-63207.070312
1192,-60737.945312
1193,-68348.335938
1194,-65827.804688
1195,-70370.734375
1196,-66699.703125
1197,-61294.382812
1198,-61214.882812
1199,-63959.414062
1200,-59537.515625
1201,-56290.265625
1202,-62719.945312
1203,-70318.117188
1204,-61360.683594
1205,-56305.656250
1206,-58846.792969
1207,-69264.484375
1208,-44372.863281
1209,-52026.738281
1210,-50830.156250
1211,-48719.234375
1212,-48358.292969
1213,-43488.953125
1214,-37353.292969
1215,-43698.851562
1216,-56539.285156
1217,-44623.800781
1218,-40750.976562
1219,-42960.480469
1220,-30207.726562
1221,-32933.757812
1222,-35003.265625
1223,-36960.589844
1224,-22897.166016
1225,-31899.750000
1226,-30213.126953
1227,-25953.201172
1228,-32652.851562
1229,-14784.000000
1230,-34643.230469
1231,-20941.464844
1232,-18647.484375
1233,-16904.447266
1234,-11331.835938
1235,-14132.699219
1236,-7606.486328
1237,-4865.613281
1238,1042.025269
1239,-5835.972656
1240,-5295.532715
1241,-4838.606445
1242,-6262.006836
1243,86.835159
1244,5069.590332
1245,5853.156250
1246,518.213928
1247,23055.494141
1248,6872.510742
1249,10570.949219
1250,12167.590820
1251,-253.490158
1252,14575.716797
1253,27820.119141
1254,17162.238281
1255,25333.052734
1256,30395.179688
1257,33524.085938
1258,43450.218750
1259,31219.589844
1260,41103.121094
1261,47891.039062
1262,38772.308594
1263,43586.703125
1264,50538.976562
1265,41218.917969
1266,34345.585938
1267,43358.164062
1268,52379.710938
1269,44142.210938
1270,61659.640625
1271,34824.308594
1272,50802.183594
1273,60560.359375
1274,57953.535156
1275,53761.640625
1276,51657.625000
1277,59268.855469
1278,63461.773438
1279,57496.300781
1280,61929.328125
1281,56596.929688
1282,53916.207031
1283,61120.214844
1284,58310.945312
1285,60960.613281
1286,66691.671875
1287,60910.003906
1288,68892.523438
1289,66953.187500
1290,67297.140625
1291,63377.945312
1292,56575.808594
1293,60341.968750
1294,57421.097656
1295,69147.039062
1296,66942.039062
1297,69102.078125
1298,66812.570312
1299,73063.437500
1300,71347.265625
1301,61596.519531
1302,65657.414062
1303,57499.632812
1304,55394.339844
1305,64381.371094
1306,61715.390625
1307,63318.210938
1308,60945.617188
1309,52741.445312
1310,51286.957031
1311,59889.722656
1312,55957.828125
1313,57618.289062
1314,48239.433594
1315,57901.312500
1316,57634.140625
1317,47507.007812
1318,56233.156250
1319,39979.578125
1320,58107.597656
1321,43272.410156
1322,57179.371094
1323,38869.769531
1324,48036.621094
1325,43201.210938
1326,27953.060547
1327,46066.050781
1328,36455.937500
1329,32695.908203
1330,38613.511719
1331,31002.566406
1332,29532.580078
1333,34156.292969
1334,35804.835938
1335,25225.039062
1336,29210.048828
1337,24111.732422
1338,24827.611328
1339,10489.661133
1340,24291.462891
1341,14001.139648
1342,13921.851562
1343,11718.026367
1344,17428.833984
1345,322.896606
1346,1254.402954
1347,9486.460938
1348,7240.921387
1349,10861.556641
1350,-10807.470703
1351,5936.154297
1352,-5587.184570
1353,-4806.084473
1354,-12954.078125
1355,-11656.400391
1356,-12068.301758
1357,-18015.193359
1358,-12643.508789
1359,-21786.763672
1360,-27984.099609
1361,-11737.172852
1362,-22337.365234
1363,-34806.945312
1364,-15543.992188
1365,-40852.121094
1366,-33629.027344
1367,-31481.853516
1368,-33608.738281
1369,-27372.101562
1370,-42762.480469
1371,-45237.394531
1372,-37136.500000
1373,-49026.898438
1374,-36524.640625
1375,-47437.347656
1376,-52138.539062
1377,-58836.964844
1378,-41851.625000
1379,-46538.714844
1380,-63305.101562
1381,-42495.593750
1382,-48951.332031
1383,-58250.683594
1384,-62713.703125
1385,-64640.148438
1386,-71766.234375
1387,-69733.125000
1388,-55594.656250
1389,-66768.523438
1390,-58462.332031
1391,-69577.734375
1392,-64821.527344
1393,-57350.960938
1394,-67992.117188
1395,-56499.066406
1396,-59942.476562
1397,-54295.503906
1398,-70908.203125
1399,-62184.609375
1400,-62299.070312
1401,-68231.421875
1402,-66686.265625
1403,-75387.554688
1404,-70431.085938
1405,-69258.406250
1406,-61747.113281
1407,-81972.367188
1408,-69956.500000
1409,-70288.023438
1410,-66719.882812
1411,-61086.250000
1412,-63002.488281
1413,-68933.507812
1414,-68608.367188
1415,-69833.554688
1416,-54420.035156
1417,-59341.300781
1418,-53618.437500
1419,-58660.488281
1420,-57392.753906
1421,-59771.902344
1422,-50858.328125
1423,-62820.964844
1424,-43430.062500
1425,-55808.035156
1426,-57724.601562
1427,-58323.964844
1428,-53904.929688
1429,-36798.707031
1430,-47125.156250
1431,-56444.402344
1432,-45032.500000
1433,-40373.082031
1434,-42952.371094
1435,-44673.597656
1436,-42626.550781
1437,-41055.882812
1438,-44211.593750
1439,-23836.236328
1440,-28632.197266
1441,-26718.994141
1442,-25247.996094
1443,-32745.037109
1444,-15737.564453
1445,-27132.791016
1446,-30243.470703
1447,-11463.828125
1448,-15630.011719
1449,-12737.816406
1450,-10110.047852
1451,-12241.691406
1452,-7458.212891
1453,-6009.168457
1454,-5801.611816
1455,-1406.343628
1456,4227.837891
1457,5341.886230
1458,7420.714355
1459,5288.515137
1460,23191.011719
1461,13641.590820
1462,9895.592773
1463,9104.285156
1464,19714.207031
1465,10138.424805
1466,16573.718750
1467,14094.782227
1468,17150.296875
1469,24491.462891
1470,27232.224609
1471,30357.300781
1472,17412.003906
1473,34082.332031
1474,29640.505859
1475,26762.787109
1476,40746.570312
1477,40794.253906
1478,43747.058594
1479,47276.257812
1480,39591.585938
1481,48099.003906
1482,47583.449219
1483,51525.417969
1484,49142.687500
1485,46353.859375
1486,36193.886719
1487,58953.507812
1488,62060.527344
1489,51265.128906
1490,57064.050781
1491,56730.972656
1492,38179.332031
1493,61945.828125
1494,54638.472656
1495,66504.359375
1496,71932.398438
1497,60550.132812
1498,51685.957031
1499,58845.566406
1500,62084.371094
1501,75129.742188
1502,66776.031250
1503,67250.906250
1504,71943.726562
1505,72818.648438
1506,67390.078125
1507,62261.425781
1508,55806.898438
1509,68724.617188
1510,67042.015625
1511,63712.328125
1512,61893.761719
1513,69360.562500
1514,74287.109375
1515,59620.007812
1516,64226.445312
1517,49021.656250
1518,65058.992188
1519,58361.355469
1520,57020.453125
1521,68787.328125
1522,45066.421875
1523,62693.574219
1524,61479.828125
1525,61940.085938
1526,49246.250000
1527,62893.625000
1528,59348.042969
1529,52957.113281
1530,63443.468750
1531,51456.191406
1532,64315.109375
1533,41484.140625
1534,60442.316406
1535,49087.332031
1536,33673.695312
1537,49016.007812
1538,39067.914062
1539,51407.367188
1540,37854.718750
1541,31920.351562
1542,38058.882812
1543,32872.941406
1544,29199.621094
1545,42125.726562
1546,29437.517578
1547,34442.234375
1548,23743.076172
1549,28319.214844
1550,26762.279297
1551,18203.529297
1552,23460.072266
1553,25199.134766
1554,26315.855469
1555,28045.458984
1556,10874.474609
1557,-7206.821777
1558,17879.353516
1559,11183.576172
1560,5491.541992
1561,12147.104492
1562,9033.782227
1563,7695.613281
1564,5495.674805
1565,-1485.929199
1566,-5301.776367
1567,-5765.479980
1568,-7287.341309
1569,-8580.537109
1570,-12039.202148
1571,-4879.146484
1572,-7543.631348
1573,-23601.988281
1574,-19057.642578
1575,-20016.712891
