Performance
137.086042
Index,Sum
1129,12751.916992
1130,6947.877441
1131,-2452.117432
1132,1098.721069
1133,-4856.682617
1134,-595.646240
1135,-6435.224609
1136,947.809998
1137,-9834.517578
1138,-4306.550293
1139,-9338.991211
1140,-19443.585938
1141,-25781.216797
1142,-18330.394531
1143,-30735.427734
1144,-22353.925781
1145,-24649.388672
1146,-25657.275391
1147,-22933.855469
1148,-19053.695313
1149,-31136.289063
1150,-25238.390625
1151,-36485.242188
1152,-20708.271484
1153,-41864.847656
1154,-34195.035156
1155,-36322.023438
1156,-42384.097656
1157,-43203.152344
1158,-44771.660156
1159,-49077.210938
1160,-47193.117188
1161,-49912.722656
1162,-50847.242188
1163,-54204.566406
1164,-52020.812500
1165,-66046.859375
1166,-54441.753906
1167,-47603.507813
1168,-63549.070313
1169,-47733.777344
1170,-45875.539063
1171,-51235.917969
1172,-55764.785156
1173,-58761.046875
1174,-63256.917969
1175,-61827.136719
1176,-53367.335938
1177,-76402.062500
1178,-60353.496094
1179,-65033.222656
1180,-62666.703125
1181,-72002.406250
1182,-59540.894531
1183,-70637.109375
1184,-76712.859375
1185,-69555.507813
1186,-64901.472656
1187,-69070.718750
1188,-55765.230469
1189,-79674.312500
1190,-72265.460938
1191,-63207.070313
1192,-60737.941406
1193,-68348.328125
1194,-65827.804688
1195,-70370.734375
1196,-66699.710938
1197,-61294.390625
1198,-61214.894531
1199,-63959.406250
1200,-59537.515625
1201,-56290.269531
1202,-62719.945313
1203,-70318.117188
1204,-61360.679688
1205,-56305.660156
1206,-58846.785156
1207,-69264.476563
1208,-44372.871094
1209,-52026.738281
1210,-50830.152344
1211,-48719.230469
1212,-48358.300781
1213,-43488.968750
1214,-37353.292969
1215,-43698.847656
1216,-56539.285156
1217,-44623.808594
1218,-40750.980469
1219,-42960.476563
1220,-30207.726563
1221,-32933.753906
1222,-35003.261719
1223,-36960.593750
1224,-22897.177734
1225,-31899.746094
1226,-30213.132813
1227,-25953.205078
1228,-32652.855469
1229,-14783.996094
1230,-34643.222656
1231,-20941.460938
1232,-18647.490234
1233,-16904.453125
1234,-11331.835938
1235,-14132.702148
1236,-7606.483398
1237,-4865.616211
1238,1042.024536
1239,-5835.976563
1240,-5295.533203
1241,-4838.609375
1242,-6262.004883
1243,86.834320
1244,5069.589355
1245,5853.157227
1246,518.214294
1247,23055.494141
1248,6872.517578
1249,10570.948242
1250,12167.588867
1251,-253.491348
1252,14575.718750
1253,27820.121094
1254,17162.238281
1255,25333.046875
1256,30395.173828
1257,33524.089844
1258,43450.226563
1259,31219.589844
1260,41103.117188
1261,47891.046875
1262,38772.308594
1263,43586.714844
1264,50538.980469
1265,41218.914063
1266,34345.578125
1267,43358.175781
1268,52379.714844
1269,44142.207031
1270,61659.640625
1271,34824.304688
1272,50802.171875
1273,60560.363281
1274,57953.542969
1275,53761.640625
1276,51657.640625
1277,59268.859375
1278,63461.773438
1279,57496.304688
1280,61929.332031
1281,56596.921875
1282,53916.207031
1283,61120.207031
1284,58310.945313
1285,60960.609375
1286,66691.664063
1287,60909.996094
1288,68892.515625
1289,66953.179688
1290,67297.148438
1291,63377.949219
1292,56575.812500
1293,60341.953125
1294,57421.105469
1295,69147.031250
1296,66942.046875
1297,69102.078125
1298,66812.570313
1299,73063.437500
1300,71347.273438
1301,61596.515625
1302,65657.414063
1303,57499.625000
1304,55394.339844
1305,64381.367188
1306,61715.386719
1307,63318.214844
1308,60945.609375
1309,52741.437500
1310,51286.960938
1311,59889.722656
1312,55957.828125
1313,57618.265625
1314,48239.417969
1315,57901.308594
1316,57634.156250
1317,47507.007813
1318,56233.152344
1319,39979.585938
1320,58107.613281
1321,43272.410156
1322,57179.367188
1323,38869.777344
1324,48036.613281
1325,43201.218750
1326,27953.052734
1327,46066.050781
1328,36455.929688
1329,32695.916016
1330,38613.515625
1331,31002.568359
1332,29532.578125
1333,34156.289063
1334,35804.843750
1335,25225.037109
1336,29210.052734
1337,24111.736328
1338,24827.605469
1339,10489.661133
1340,24291.462891
1341,14001.134766
1342,13921.849609
1343,11718.022461
1344,17428.835938
1345,322.903137
1346,1254.408081
1347,9486.472656
1348,7240.925781
1349,10861.561523
1350,-10807.474609
1351,5936.154785
1352,-5587.181152
1353,-4806.081055
1354,-12954.079102
1355,-11656.390625
1356,-12068.300781
1357,-18015.199219
1358,-12643.511719
1359,-21786.765625
1360,-27984.105469
1361,-11737.176758
1362,-22337.369141
1363,-34806.937500
1364,-15543.987305
1365,-40852.117188
1366,-33629.031250
1367,-31481.849609
1368,-33608.730469
1369,-27372.105469
1370,-42762.484375
1371,-45237.390625
1372,-37136.500000
1373,-49026.890625
1374,-36524.636719
1375,-47437.351563
1376,-52138.531250
1377,-58836.960938
1378,-41851.625000
1379,-46538.718750
1380,-63305.089844
1381,-42495.589844
1382,-48951.332031
1383,-58250.683594
1384,-62713.703125
